formula;mass;pubChemId
C4H4N2;80.09;"s<br>Piazine (obsol.)<br>1, 4-Diazabenzene<br>PubChem16607<br>Pyrazine, >=99%<br>AC1L1SOJ<br>ACMC-20aj34<br>AC1Q2AS8<br>DSSTox_CID_29370<br>DSSTox_RID_83485<br>DSSTox_GSID_49410<br>Pyrazine, >=99%, FG<br>Pyrazine, analytical standard<br>CHEMBL15797<br>Jsp005543<br>DTXSID8049410<br>MolPort-000-158-413<br>EBD21641<br>STR04325<br>ZINC1692439<br>Tox21_202911<br>9248AD<br>ANW-75662<br>BBL027560<br>NSC400221<br>STL373491<br>AKOS006223200<br>Pyrazine, purum, >=98.0% (GC)<br>LS20037<br>MCULE-7343822850<br>NSC-400221<br>RP08214<br>UN 1325<br>VP40092<br>NCGC00260457-01<br>AJ-30139<br>AN-23350<br>BP-10420<br>CAS-290-37-9<br>CJ-06509<br>CJ-28223<br>KB-60055<br>SC-25978<br>DB-003769<br>LS-127556<br>TC-030267<br>TC-164407<br>FT-0602797<br>P0544<br>ST24049051<br>EN300-72616<br>5729-EP0930075A1<br>5729-EP2269975A2<br>5729-EP2269978A2<br>5729-EP2269985A2<br>5729-EP2269990A1<br>5729-EP2269991A2<br>5729-EP2269997A2<br>5729-EP2270006A1<br>5729-EP2270010A1<br>5729-EP2270113A1<br>5729-EP2270505A1<br>5729-EP2272509A1<br>5729-EP2272517A1<br>5729-EP2272813A2<br>5729-EP2272827A1<br>5729-EP2272828A1<br>5729-EP2272832A1<br>5729-EP2272841A1<br>5729-EP2272849A1<br>5729-EP2272935A1<br>5729-EP2272972A1<br>5729-EP2272973A1<br>5729-EP2275395A2<br>5729-EP2275401A1<br>5729-EP2275404A1<br>5729-EP2275409A1<br>5729-EP2275411A2<br>5729-EP2275412A1<br>5729-EP2275415A2<br>5729-EP2277858A1<br>5729-EP2277872A1<br>5729-EP2280000A1<br>5729-EP2280008A2<br>5729-EP2280009A1<br>5729-EP2280011A1<br>5729-EP2281563A1<br>5729-EP2281815A1<br>5729-EP2281818A1<br>5729-EP2281819A1<br>5729-EP2281861A2<br>5729-EP2284149A1<br>5729-EP2284150A2<br>5729-EP2284151A2<br>5729-EP2284152A2<br>5729-EP2284153A2<br>5729-EP2284155A2<br>5729-EP2284156A2<br>5729-EP2284157A1<br>5729-EP2284164A2<br>5729-EP2284920A1<br>5729-EP2287140A2<br>5729-EP2287148A2<br>5729-EP2287150A2<br>5729-EP2287167A1<br>5729-EP2289871A1<br>5729-EP2292586A2<br>5729-EP2292590A2<br>5729-EP2292592A1<br>5729-EP2292593A2<br>5729-EP2292597A1<br>5729-EP2292604A2<br>5729-EP2292611A1<br>5729-EP2292619A1<br>5729-EP2292630A1<br>5729-EP2295419A2<br>5729-EP2295421A1<br>5729-EP2295426A1<br>5729-EP2295427A1<br>5729-EP2295429A1<br>5729-EP2295432A1<br>5729-EP2295433A2<br>5729-EP2295503A1<br>5729-EP2298731A1<br>5729-EP2298732A1<br>5729-EP2298750A1<br>5729-EP2298755A1<br>5729-EP2298767A1<br>5729-EP2298770A1<br>5729-EP2298774A1<br>5729-EP2298828A1<br>5729-EP2301534A1<br>5729-EP2301536A1<br>5729-EP2301538A1<br>5729-EP2301912A2<br>5729-EP2301913A1<br>5729-EP2301914A1<br>5729-EP2301916A2<br>5729-EP2301918A1<br>5729-EP2301921A1<br>5729-EP2301923A1<br>5729-EP2301926A1<br>5729-EP2301936A1<br>5729-EP2301937A1<br>5729-EP2301983A1<br>5729-EP2305219A1<br>5729-EP2305250A1<br>5729-EP2305637A2<br>5729-EP2305643A1<br>5729-EP2305648A1<br>5729-EP2305651A1<br>5729-EP2305652A2<br>5729-EP2305657A2<br>5729-EP2305658A1<br>5729-EP2305659A1<br>5729-EP2305688A1<br>5729-EP2305695A2<br>5729-EP2305696A2<br>5729-EP2305697A2<br>5729-EP2305698A2<br>5729-EP2308510A1<br>5729-EP2308562A2<br>5729-EP2308812A2<br>5729-EP2308832A1<br>5729-EP2308839A1<br>5729-EP2308848A1<br>5729-EP2308849A1<br>5729-EP2308850A1<br>5729-EP2308854A1<br>5729-EP2308863A1<br>5729-EP2308880A1<br>5729-EP2310391A1<br>5729-EP2311451A1<br>5729-EP2311455A1<br>5729-EP2311796A1<br>5729-EP2311797A1<br>5729-EP2311798A1<br>5729-EP2311799A1<br>5729-EP2311818A1<br>5729-EP2311825A1<br>5729-EP2311842A2<br>5729-EP2314295A1<br>5729-EP2314575A1<br>5729-EP2314582A1<br>5729-EP2314583A1<br>5729-EP2314587A1<br>5729-EP2314590A1<br>5729-EP2315303A1<br>5729-EP2315502A1<br>5729-EP2316450A1<br>5729-EP2316452A1<br>5729-EP2316459A1<br>5729-EP2316470A2<br>5729-EP2316832A1<br>5729-EP2316833A1<br>5729-EP2316905A1<br>5729-EP2316906A2<br>5729-EP2371810A1<br>5729-EP2371811A2<br>5729-EP2371812A1<br>5729-EP2371831A1<br>5729-EP2372804A1<br>5729-EP2378585A1<br>S-8056<br>142241-EP2270010A1<br>142241-EP2292593A2<br>A819731<br>Q-100368<br>InChI=1C4H4N2c1-2-6-4-3-5-1h1-4<br>F0001-0907<br>1339899-95-4<br><td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound9261"
C5H5N;79.102;1049
C8H8;104.152;7501
O2S;64.058;1119
C2Cl4;165.822;31373
C9H20N2O;172.272;14465
C4H12Ge;132.77;70079
C5H12N2S;132.225;17725
C3H3NS;85.124;9256
C4H4S;84.136;8030
C7H8;92.141;1140
C6H3Cl3;181.44;7950
C2HCl3;131.38;6575
C13H26O2;214.349;12530
C13H28O;200.366;8207
C3H9NO;75.111;1145
C11H7ClO3;222.624;79416
C7H11N;109.172;16620
C11H22O;170.296;8186
C11H20O;168.28;5283356
C2H3Cl;62.496;6338
C8H10O;122.167;7948
C6H12O2;116.16;8038
C4H8O2;88.106;8857
C7H14O2;130.187;12278
C7H14O2;130.187;31276
C5H10O2;102.133;7915
C8H16O3;160.213;8160
C6H12O3;132.159;8095
C9H10O;134.178;8500
C10H16O;152.237;64152
C10H12O;148.205;637563
C4H6;54.092;11535
C4H8O2;88.106;264
C6H12O2;116.16;7762
C7H14O2;130.187;7770
C4H10O;74.123;6568
C4H8O;72.107;6569
C4H8;56.108;62695
C4H8;56.108;5287573
C4H6O2;86.09;637090
C4H6O;70.091;6570
C10H14;134.222;7705
C4H6;54.092;7846
C4H6;54.092;10419
CO;28.01;281
C4H9Cl;92.566;6563
C4H7N;69.107;8008
C4H5N;67.091;637921
C4H8;56.108;9250
C6H8;80.13;12343
C5H8O;84.118;8452
C10H14;134.222;7463
C10H14;134.222;14095
C10H20;140.27;88039
C10H20;140.27;23916
C6H4Cl2;146.998;10943
C6H4Cl2;146.998;4685
C6H13NO;115.176;12703
C10H14;134.222;7734
C10H14;134.222;8864
C4H8O2;88.106;31275
C4H10O;74.123;3283
C4H12N2;88.154;69222
C4H6O;70.091;70934
C4H6O2;86.09;7302
C5H8O;84.118;8080
C8H11N;121.183;949
C6H10;82.146;10566
C6H14;86.178;6589
C6H12;84.162;11210
C6H12;84.162;11249
C6H12;84.162;11250
C6H10;82.146;13512
C8H16;112.216;11549
C8H16;112.216;11416
C8H16;112.216;11564
C8H16;112.216;11523
C8H14;110.2;137726
C8H14;110.2;519449
C7H10;94.157;138349
C7H10;94.157;138124
C7H14;98.189;15421
C7H14;98.189;17148
C7H14;98.189;17149
C7H12;96.173;87906
C7H12;96.173;522549
C7H12;96.173;86014
C12H26;170.34;520357
C12H26;170.34;139395
C12H26;170.34;545624
C12H26;170.34;519395
C12H26;170.34;28468
C12H26;170.34;519396
C12H26;170.34;519255
C12H24;168.324;522542
C12H24;168.324;5366033
C10H12;132.206;16266
C2H6O;46.069;8254
C10H14;134.222;13621
C10H14;134.222;13627
C6H8O;96.129;19462
C6H8O;96.129;12266
C9H16;124.227;81203
C9H20;128.259;26375
C9H20;128.259;16656
C9H20;128.259;16662
C9H20;128.259;14069
C9H20;128.259;13558
C8H14;110.2;565367
C8H14;110.2;142069
C8H14;110.2;12992
C8H18;114.232;11447
C8H18;114.232;11511
C8H18;114.232;11592
C8H18;114.232;11233
C8H16;112.216;140134
C8H16;112.216;33451
C8H16;112.216;23502
C8H16;112.216;18853
C8H16;112.216;520669
C8H16;112.216;638067
C9H14;122.211;572074
C8H14;110.2;91700517
C11H24;156.313;28457
C10H18;138.254;5365898
C10H18;138.254;5352478
C10H18;138.254;519299
C10H22;142.286;139988
C10H22;142.286;16319
C10H22;142.286;14070
C10H22;142.286;139989
C10H22;142.286;85927
C10H16;136.238;5281553
C10H16;136.238;6434062
C7H12;96.173;137118
C7H12;96.173;66080
C7H12;96.173;66081
C7H16;100.205;11260
C7H16;100.205;7907
C7H16;100.205;11229
C7H14;98.189;12260
C7H14;98.189;638068
C7H14;98.189;12984
C7H12;96.173;136786
C5H8N2;96.133;136502
C5H8N2;96.133;6210
C6H9N;95.145;39539
C6H9N;95.145;12265
C10H12;132.206;16694
C6H12O;100.161;13855
C13H28;184.367;519405
C10H12;132.206;21476
C3H6O2;74.079;12586
C10H10;130.19;66041
C12H26;170.34;8182
C12H24;168.324;8183
C12H24;168.324;522440
C12H24;168.324;5362826
C12H24;168.324;5364450
C12H24;168.324;519765
C12H24;168.324;5364444
C12H24;168.324;138957
C12H24;168.324;5364640
C7H10O2;126.155;102550
C10H12;132.206;33937
C12H10;154.212;13230
C4H10O2;90.122;8076
C6H10;82.146;18850
C6H12O;100.161;7359
C6H12;84.162;12970
C8H14;110.2;73937
C8H14;110.2;137724
C7H12;96.173;137448
C12H26;170.34;519256
C10H14;134.222;15653
C10H14;134.222;13403
C10H14;134.222;13629
C12H26;170.34;537329
C2H4O;44.053;6354
C6H8O;96.129;18554
C8H18;114.232;12096
C8H14;110.2;13856
C9H12;120.195;11903
C9H12;120.195;12100
C9H12;120.195;12160
C9H18;126.243;19503
C8H16;112.216;136729
C8H14;110.2;88243
C8H14;110.2;557171
C7H10O;110.156;74346
C11H24;156.313;537768
C8H18O;130.231;7821
C8H16;112.216;520670
C11H24;156.313;92239
C10H22;142.286;79985
C7H16;100.205;12048
C7H9N;107.156;10823
C6H9N;95.145;137075
C6H9N;95.145;258383
C6H9N;95.145;185226
C10H12;132.206;24143
C6H14O;102.177;12512
C7H8O2;124.139;76662
C7H12;96.173;5364394
C7H16;100.205;8900
C7H14O2;130.187;8094
C7H14O;114.188;8051
C7H14O;114.188;7802
C7H14O;114.188;31246
C7H10;94.157;140269
C7H14;98.189;11610
C7H14;98.189;639662
C7H14;98.189;5357259
C7H12;96.173;12350
C7H12;96.173;75755
C16H34O;242.447;85779
C6H10;82.146;39175
C6H10;82.146;5365552
C6H10;82.146;638071
C6H10O2;114.144;8035
C6H14;86.178;8058
C6H12O2;116.16;8892
C6H12O;100.161;11509
C6H12O;100.161;11583
C6H8;80.13;5367415
C6H12;84.162;11597
C6H12;84.162;639661
C6H12;84.162;643835
C6H12;84.162;638066
C6H10O;98.145;7989
C6H10O;98.145;5365811
C6H10O;98.145;5367744
C10H16O;152.237;77408
C6H8O;96.129;139192
H2O2;34.014;22326046
C2H4O2;60.052;756
C4H8O2;88.106;7897
C4H8O3;104.105;441
C3H8O2;76.095;8019
C7H8O;108.14;342
C3H6O2;74.079;8299
C9H10;118.179;10326
C5H8;68.119;6557
C10H18;138.254;14299
C9H16;124.227;520966
C8H14;110.2;137017
C10H20O;156.269;16666
C3H6O3;90.078;19789253
C10H16;136.238;22311
C10H20;140.27;27938
C10H18O;154.253;6986
C10H14;134.222;527424
C10H18;138.254;517974
C10H18;138.254;12504268
C10H18;138.254;10369
C3H6OS;90.14;520144
C3H6O2;74.079;8025
C2H4O2;60.052;7865
C4H8O2;88.106;8073
C3H6O2;74.079;91563
C3H6O3;90.078;12251
C4H8O3;104.105;80507
C3H8O;60.096;10903
C4H10O2;90.122;7900
C6H14O;102.177;136445
C7H8O2;124.139;460
C7H16O3;148.202;25982
C10H14O;150.221;7702
C5H10O;86.134;7284
C5H9N;83.134;12244
C7H14O2;130.187;24020
C5H10O2;102.133;10430
C7H14O2;130.187;7945
C5H10O;86.134;11251
C5H8O;84.118;61020
C5H8O;84.118;5321950
C5H10;70.135;10553
C5H10;70.135;11239
C5H10;70.135;11240
C5H7N;81.118;27909
C5H8O2;100.117;125468
C5H8O;84.118;13143
C5H6;66.103;62323
C8H16;112.216;20082
C7H10;94.157;78006
C7H12;96.173;11572
C7H12;96.173;11574
C7H10O;110.156;14511
C6H8;80.13;25512
C6H8;80.13;66775
C6H12;84.162;7296
C6H10O;98.145;14265
C6H10;82.146;12746
C6H10;82.146;14263
C6H10;82.146;15658
C6H8O;96.129;14266
C6H8O;96.129;17691
C8H12O;124.183;556900
C11H24;156.313;23415
C11H24;156.313;17835
C11H24;156.313;93071
C11H22;154.297;518718
C11H22;154.297;518719
C11H22;154.297;520049
C11H22;154.297;5365838
C7H12;96.173;14502
C7H10;94.157;219357
C6H10;82.146;73714
C6H8;80.13;556370
C6H8;80.13;136723
C8H16;112.216;15404
C10H22;142.286;139803
C9H16;124.227;138578
C8H18;114.232;11863
C5H6O;82.102;10797
C5H6O;82.102;13587
C6H6O2;110.112;12097
C5H6O2;98.101;11558
C5H6O2;98.101;30945
C8H14;110.2;534918
C8H14;110.2;139628
C8H14;110.2;138971
C8H18;114.232;11594
C8H18;114.232;11519
C8H18;114.232;11512
C8H16O;128.215;92927
C8H16O;128.215;13572
C8H16O;128.215;12210
C8H16;112.216;27519
C8H16;112.216;518713
C8H16;112.216;21122
C8H16;112.216;12330
C8H16;112.216;5366149
C8H16;112.216;5352648
C8H16;112.216;522498
C8H16;112.216;5364849
C8H14;110.2;521962
C7H12;96.173;520396
C7H12;96.173;556839
C7H16;100.205;11582
C7H14O;114.188;7754
C7H14O;114.188;102846
C7H14O;114.188;12187
C7H14;98.189;18848
C7H14;98.189;19589
C7H14;98.189;77058
C7H14;98.189;17656
C7H14;98.189;5352660
C7H14;98.189;5357249
C7H14;98.189;5365948
C7H14;98.189;5352548
C7H14;98.189;5357250
C7H14;98.189;5357252
C7H12;96.173;520802
C7H12;96.173;137490
C9H9N;131.178;11978
C9H9N;131.178;70275
C7H12;96.173;523523
C10H14;134.222;10812
C10H20O;156.269;89437
C10H18O;154.253;70962
C10H16O;152.237;6987
C10H16O;152.237;107372
C10H22;142.286;13379
C10H22;142.286;22202
C10H22;142.286;28455
C10H22;142.286;27518
C9H20;128.259;18591
C9H20;128.259;16664
C9H20;128.259;16665
C7H12O2;128.171;544782
C6H10;82.146;638070
C6H10;82.146;638069
C6H10;82.146;20682
C6H10;82.146;66195
C6H10;82.146;13555
C6H12O;100.161;31245
C6H14;86.178;7892
C6H14;86.178;7282
C6H12O2;116.16;12587
C6H14O;102.177;11508
C6H14O;102.177;7910
C6H14O;102.177;6493
C6H12O;100.161;7909
C6H12O;100.161;11262
C6H10O;98.145;5319754
C6H10O;98.145;5916154
C6H10O;98.145;21457
C6H12;84.162;12986
C6H12;84.162;12969
C6H12;84.162;12724
C6H12;84.162;12243
C6H12;84.162;642661
C6H12;84.162;172092
C6H12;84.162;5326159
C6H10O2;114.144;642039
C6H10O;98.145;8858
C6H10O;98.145;5364579
C6H8;80.13;5367413
C6H10;82.146;140789
C6H10;82.146;138948
C7H8O;108.14;2879
C9H10O;134.178;11340
C10H12O;148.205;69144
C4H8O;72.107;6561
C4H10;58.124;6360
C9H18O2;158.241;97883
C4H10O;74.123;6386
C4H10O;74.123;6560
C4H6O;70.091;6562
C4H8;56.108;8255
C5H8O2;100.117;6658
C10H12;132.206;13030
C10H18;138.254;549098
C10H14;134.222;14091
C4H6N2;82.106;15073
C5H7N;81.118;12489
C5H7N;81.118;12023
C5H7N;81.118;7304
C9H10;118.179;11904
C9H10;118.179;7407
C5H12O;88.15;15413
C5H6S;98.163;12024
C4H8S;88.168;142629
C12H26;170.34;23459
C12H26;170.34;13845
C12H26;170.34;520454
C12H26;170.34;94213
C12H24;168.324;522551
C12H24;168.324;522554
C12H24;168.324;522552
C12H24;168.324;5366153
C12H24;168.324;5364657
C12H24;168.324;5364659
C12H24;168.324;5366151
C12H24;168.324;5365958
C12H24;168.324;5364655
C12H24;168.324;5363253
C6H13NO;115.176;290807
C9H10;118.179;12161
C10H16;136.238;31253
C6H11NO2;129.159;14285
C9H20;128.259;8141
C9H18O2;158.241;8158
C9H18O;142.242;13187
C9H18;126.243;5364590
C9H18;126.243;5364445
C9H18;126.243;5364453
C8H14;110.2;5367588
C8H16O;128.215;454
C8H18;114.232;356
C8H16O;128.215;8093
C8H16O;128.215;246728
C8H16;112.216;8125
C8H16;112.216;5364448
C8H16;112.216;638228
C8H16;112.216;5357253
C4H6O;70.091;15570
C5H8;68.119;11588
C5H8;68.119;62204
C5H8;68.119;643785
C5H8;68.119;11587
C6H8O;96.129;637564
C5H10O;86.134;8063
C5H12;72.151;8003
C5H10O2;102.133;7991
C5H12O;88.15;6276
C5H10O;86.134;7895
C5H10;70.135;5326161
C5H10;70.135;5326160
C5H8O2;100.117;638122
C5H8O;84.118;15394
C5H8O;84.118;637920
C5H6;66.103;137090
C5H6;66.103;638083
C9H14O;138.21;19602
C5H8;68.119;12310
C10H16;136.238;11142
C10H16;136.238;7460
C10H12;132.206;5370622
C10H12;132.206;5356732
C10H12;132.206;74871
C9H10;118.179;252325
C6H7N;93.129;7963
C10H16;136.238;14896
C10H16;136.238;6654
C5H9NO;99.133;12665
C3H6O;58.08;527
C3H7NO;73.095;6578
C3H8O2;76.095;1030
C3H4O2;72.063;880
C3H5N;55.08;7854
C3H6O2;74.079;1032
C5H10O2;102.133;7749
C4H8O2;88.106;11124
C6H12O2;116.16;7803
C3H8O;60.096;1031
C3H6O;58.08;7858
C3H6;42.081;8252
C5H8O2;100.117;8821
C6H10O2;114.144;13550
C7H8O;108.14;530402
C9H14;122.211;138556
C6H12O;100.161;5365240
C7H14O2;130.187;537793
C9H12;120.195;7668
C9H16;124.227;138092
C3H4;40.065;6335
C5H8O2;100.117;10953
C4H4N2;80.09;9260
C4H5N;67.091;8027
C4H9N;71.123;31268
C10H16;136.238;7462
C10H16;136.238;66841
C10H16;136.238;7461
C10H16;136.238;11463
C10H18O;154.253;17100
C10H14O;150.221;329983
C10H18O;154.253;5363526
C10H14;134.222;10263
C10H14;134.222;10695
C10H14;134.222;7269
C8H18;114.232;11675
C12H26;170.34;182333
C12H26;170.34;537765
C5H12N2O;116.164;12437
C2H6S;62.13;6343
C8H8O;120.151;10722
C13H28;184.367;12388
C3H9N;59.112;1146
C9H12;120.195;7947
C9H12;120.195;10686
C9H12;120.195;7247
C10H16O;152.237;2537
C10H16;136.238;26049
C9H18;126.243;15507
C9H18;126.243;91517
C9H18;126.243;35363
C9H18;126.243;252326
C8H16;112.216;27533
C8H16;112.216;35368
C8H16;112.216;17779
C8H14;110.2;136316
C8H12O;124.183;41520
C13H28;184.367;43924
C13H28;184.367;545608
C13H28;184.367;537327
C7H10O;110.156;517859
C10H18;138.254;520731
C10H18;138.254;549686
C10H22;142.286;137658
C10H22;142.286;93280
C9H20;128.259;14045
C9H20;128.259;28022
C9H20;128.259;19041
C9H20;128.259;13533
C9H20;128.259;28024
C7H11N;109.172;70260
C11H24;156.313;545571
C11H24;156.313;522006
C11H24;156.313;112465
C11H24;156.313;545612
C8H18;114.232;10907
C8H18;114.232;11215
C8H18;114.232;11255
C8H18;114.232;11269
C8H16;112.216;"s<br>NSC8701<br>MolPort-001-787-090<br>KS-000016TH<br>NSC73942<br>ZINC1648186<br>(tert-C4H9)CH2C(CH3)=CH2<br>Tox21_200435<br>Tox21_202554<br>ANW-15788<br>NSC-73942<br>2,4,4-Trimethyl-1-pentene, 96%<br>2,4,4-Trimethyl-1-pentene, 99%<br>AKOS015903731<br>RTR-001811<br>TRA0097053<br>NCGC00166004-01<br>NCGC00166004-02<br>NCGC00257989-01<br>NCGC00260103-01<br>AN-17665<br>AN-22476<br>CAS-107-39-1<br>CJ-26606<br>2,4,4-Trimethyl-1-pentene, 99% 25g<br>CAS-25167-70-8<br>KB-164529<br>LS-102078<br>LS-165873<br>TR-001811<br>FT-0624979<br>FT-0624980<br>J-001894<br>W-109188<br>I14-17830<br>2,4,4-Trimethyl-1-pentene + 2,4,4-Trimethyl-2-pentene<br>Diisobutylene, isomeric compounds [UN2050] [Flammable liquid]<br>Diisobutylene, isomeric compounds [UN2050] [Flammable liquid]<br>InChI=1C8H16c1-7(2)6-8(3,4)5h1,6H2,2-5H<br>12002-23-2<br>Diisobutylene, technical, >=90% (3 parts 2,4,4-trimethyl-1-pentene + 1 part 2,4,4-trimethyl-2-pentene, GC)<br><td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound7868"
C8H16;112.216;7869
C8H16;112.216;11270
C8H16;112.216;5357254
C7H11N;109.172;572717
C4H8O3;104.105;22294
C11H24;156.313;14257
C11H22;154.297;13190
C11H22;154.297;5358315
C11H22;154.297;5364447
C11H22;154.297;5364488
C4H8O;72.107;8023
C6H6O;94.113;73881
C8H10;106.168;7809
C8H10;106.168;7929
C8H10;106.168;7237
C8H10O;122.167;10687
C2H5NO3;91.07;286
C10H16OSi;180.32;10969113
C8H9NO2;151.16;9602988
C20H26O5Si2;402.6;91731726
C9H27AsO3Si3;342.49;180508
C5H6N2;94.11;66171
C8H24O4Si4;296.61;11169
C7H14O3;146.18;84777
C8H16O;128.21;16021
C14H30O3S;278.45;6421048
C8H8O;120.15;998
C13H28;184.36;545954
C9H20;128.25;16663
C8H10O;122.16;637516
C19H40;268.5;545603
C9H12O;136.19;12053
C13H22O3Si2;282.48;622439
C11H16N2O;192.26;13544681
C17H13FO6;332.28;91711798
C9H14O;138.21;141033
C10H20;140.27;549578
C17H34O3Si3;370.7;622436
C9H12O;136.19;7147
C9H10O2;150.17;7165
C8H14;110.2;136569
C10H20O;156.26;1254
C10H18O;154.25;11230
C10H8;128.17;9231
C8H8O3;152.15;4133
C9H10O;134.17;34225
C6H10O3;130.14;70
C9H10O3;166.17;1303
C10H12O2;164.2;81984
C13H16N2O3;248.28;137353
C8H7N;117.15;575987
C9H21N;143.27;29996
C17H16O4;284.31;6041429
C12H25I;296.23;20282
C21H44;296.6;29036
C14H15FN2O2;262.28;91704350
C16H30O4;286.41;23284
C12H18;162.27;7602
C15H24O2;236.35;146102
C10H12O3;180.2;22568
C12H18O2;194.27;5370158
C12H24O;184.32;8194
C10H10O2;162.18;23229
C22H36O4Si3;448.8;91742720
C16H24O4;280.36;5363907
C12H24;168.32;9268
C14H42O7Si7;519.07;7874
C12H17NO;191.27;67583415
C14H22O;206.32;79983
C12H27O4P;266.31;31355
C16H10N2O6;326.26;102123396
C11H14O3;194.23;90232
C24H19ClN2O2;402.9;71728917
C7H12O2;128.17;85071
C16H48O8Si8;593.2;11170
C13H10O;182.22;3102
C14H17ClO5;300.73;91726212
C10H20O;156.26;557859
C12H10N2O8;310.22;558880
C13H24O4;244.33;91713521
C16H18;210.31;520958
C15H28O2;240.38;75084
C27H56;380.7;11636
C14H22O;206.32;8814
C12H16O2;192.25;103653
C21H44;296.6;41209
C22H21F7O3;466.4;91715001
C15H22O2;234.33;73219
C18H54O9Si9;667.4;11172
C17H34O3;286.4;85781
C12H12O4;220.22;13596727
C12H12O4;220.22;13596727
C20H25NO2;311.4;567717
C17H34O2;270.5;21205
C16H48O10Si9;653.3;551986
C20H30O4;334.4;6818
C20H36O4;340.5;5370325
C18H26O3;290.4;21630
C24H38O4;390.6;8343
